study_hours,sleep_hours,exercise,screen_time,consistency,procrastination,goal_clarity,target
3.1,8.04,0,5.74,7,4,8,High
3.11,6.22,0,11.36,4,7,5,Negative
5.18,6.52,0,5.29,4,8,7,Average
0.77,10.0,1,8.38,6,7,4,Negative
3.1,5.68,0,8.31,8,10,8,Average
8.4,7.97,1,2.92,10,2,10,High
6.07,6.78,1,6.5,7,2,8,High
5.53,7.08,1,5.98,2,7,4,Average
7.4,4.92,1,7.29,3,7,10,Average
2.78,5.57,1,8.28,4,7,6,Negative
6.19,6.27,0,5.17,3,6,7,Average
3.79,6.05,1,3.07,4,3,6,High
5.32,6.2,0,5.88,5,6,5,Average
4.18,7.11,0,6.42,8,3,7,High
5.53,5.25,0,3.98,5,4,7,High
4.43,5.96,0,1.94,6,6,7,High
2.25,5.34,1,10.7,4,8,4,Negative
5.65,6.53,1,5.52,3,4,5,Average
3.18,7.86,0,6.59,7,5,7,Average
8.88,9.19,1,3.82,7,4,9,High
5.27,9.57,0,6.48,4,4,7,Average
4.37,8.06,1,8.81,5,3,10,High
3.63,10.0,0,6.58,7,8,6,Average
2.04,6.9,1,5.68,8,5,6,Average
4.85,6.92,1,4.02,10,2,9,High
5.85,5.24,1,5.04,4,4,5,Average
5.78,7.57,1,6.06,7,2,9,High
7.04,4.97,0,7.86,6,7,7,Average
7.68,5.59,1,5.95,4,6,1,Average
6.12,9.24,1,1.96,8,3,10,High
6.41,8.1,1,7.35,5,4,8,High
6.59,8.38,1,3.53,9,2,10,High
6.64,6.68,0,5.71,5,7,6,Average
5.14,5.31,0,5.58,6,4,9,High
6.74,6.78,0,3.21,9,5,5,High
4.65,4.77,0,6.01,7,8,5,Average
3.8,6.44,0,12.0,5,10,2,Negative
4.59,5.78,0,7.49,7,3,7,High
5.3,5.8,1,5.88,6,5,7,High
4.7,5.77,0,3.06,8,7,6,Average
5.04,6.98,0,5.41,6,5,8,High
5.23,5.42,1,2.4,3,6,7,Average
4.26,5.71,0,4.87,8,4,6,High
7.69,5.26,1,10.05,6,4,6,High
3.44,6.05,0,9.66,3,6,4,Negative
5.23,7.76,1,2.13,9,3,8,High
3.08,4.38,1,4.57,6,6,5,Average
5.36,6.9,0,5.48,7,6,7,High
5.01,6.02,1,6.39,8,4,9,High
7.4,5.2,0,5.87,7,3,10,High
6.45,7.02,1,6.25,10,7,6,High
3.97,6.07,0,6.23,8,7,6,Average
2.2,6.46,0,4.16,8,8,6,Average
6.52,5.25,0,5.3,5,5,1,Average
7.98,6.11,0,6.35,5,3,5,High
6.29,7.09,1,3.71,10,3,10,High
2.8,6.3,0,5.08,4,9,4,Negative
7.54,7.12,1,6.23,7,4,8,High
4.44,6.36,1,8.3,7,1,10,High
6.69,5.9,0,5.75,9,5,8,High
5.02,7.03,1,2.79,7,3,8,High
6.34,6.77,0,6.18,8,7,7,High
8.61,7.6,1,2.96,9,4,7,High
4.43,5.95,0,5.46,4,5,4,Average
4.66,6.66,1,1.4,10,1,10,High
3.74,7.51,0,8.13,7,6,8,Average
6.67,5.48,0,8.44,5,4,8,High
3.78,6.94,0,8.36,7,6,3,Average
1.83,7.52,0,9.43,8,6,5,Average
4.92,5.47,0,7.39,5,6,5,Average
4.46,6.33,0,2.72,5,7,4,Average
2.29,8.74,0,7.66,5,7,5,Negative
3.92,8.39,0,6.81,6,8,4,Negative
6.08,7.02,1,2.99,7,6,6,High
3.53,7.38,1,7.22,4,7,7,Average
2.87,7.57,0,6.28,4,7,6,Average
2.75,7.22,1,6.56,4,6,6,Average
3.48,7.16,1,3.98,8,1,9,High
3.86,6.73,1,4.92,8,6,6,High
5.05,5.38,1,5.94,4,7,6,Average
5.26,4.36,1,6.41,8,2,8,High
6.41,7.59,0,3.16,5,5,7,High
3.6,6.55,0,4.53,6,9,6,Average
2.69,6.95,1,3.1,7,5,6,High
4.48,4.32,0,9.2,5,6,8,Average
3.24,5.66,0,11.28,7,4,6,Average
3.94,5.28,0,7.7,1,4,4,Negative
5.1,7.75,0,4.82,5,4,7,High
7.34,7.72,1,4.53,8,2,10,High
3.91,8.13,1,2.94,6,2,6,High
2.95,7.15,0,5.9,6,2,8,High
6.54,5.68,1,2.0,8,1,9,High
7.16,5.77,0,5.95,4,5,7,Average
6.29,9.15,1,1.5,8,1,8,High
6.55,8.21,1,2.17,6,3,7,High
0.64,6.45,0,8.02,6,6,4,Negative
7.64,6.82,1,2.58,9,1,7,High
3.46,4.68,0,8.82,6,9,5,Negative
4.35,9.28,0,6.34,5,4,8,Average
5.7,7.32,1,3.73,8,4,9,High
3.69,7.03,1,4.81,6,2,8,High
7.95,7.98,0,4.56,5,6,5,High
7.5,6.9,0,4.56,6,5,6,High
6.16,7.24,0,5.59,6,4,7,High
8.37,8.04,1,3.12,8,4,7,High
6.75,4.73,0,5.47,6,1,8,High
6.25,7.35,1,2.64,10,1,8,High
4.74,4.73,0,7.32,7,6,5,Average
4.71,8.22,0,2.2,7,5,7,High
4.28,4.59,1,10.06,5,10,4,Negative
0.17,5.15,0,7.91,1,10,6,Negative
8.11,7.28,1,7.07,8,6,6,High
4.93,8.0,1,7.62,7,8,8,Average
4.12,6.92,1,8.15,6,2,7,High
6.08,7.67,0,6.11,8,4,8,High
3.99,7.96,1,3.0,8,2,7,High
5.73,6.43,1,3.3,7,4,7,High
6.59,7.92,1,7.3,7,6,8,High
7.23,8.41,1,0.92,5,5,8,High
3.82,7.53,1,5.51,7,4,6,High
3.04,6.58,1,6.22,7,7,9,High
4.77,6.65,0,7.49,3,6,4,Negative
2.87,4.68,0,6.35,5,8,6,Negative
3.81,4.78,1,8.91,7,8,4,Negative
7.08,6.75,1,4.09,6,1,9,High
5.76,7.02,1,5.46,4,3,5,High
2.16,7.74,0,9.03,6,6,6,Average
3.24,6.81,0,8.06,5,8,7,Negative
3.6,6.9,1,2.6,5,5,7,High
6.01,5.94,0,6.82,6,6,8,High
4.04,10.0,1,4.28,7,6,8,High
1.78,6.38,0,4.4,3,5,3,Negative
7.95,6.96,1,3.53,8,4,10,High
5.07,4.08,1,4.4,7,5,5,Average
5.47,7.35,1,5.59,8,4,8,High
4.54,9.92,1,4.48,5,4,4,Average
6.17,6.22,1,2.91,9,1,10,High
5.79,7.58,1,6.15,6,7,7,High
5.77,7.49,1,5.78,8,5,9,High
2.36,6.9,0,7.39,4,9,6,Negative
7.29,6.45,1,2.23,10,1,10,High
5.98,5.67,1,3.23,4,9,5,Average
3.03,7.82,0,7.36,7,3,5,Average
7.94,6.64,0,5.39,2,7,6,Average
5.56,5.83,0,3.92,8,3,8,High
5.69,8.32,0,4.1,5,6,4,Average
6.84,5.26,0,3.07,4,8,8,Average
9.0,8.82,1,3.65,7,4,10,High
3.65,6.46,1,4.24,8,2,5,High
4.55,7.31,0,6.22,8,7,6,Average
4.05,6.09,0,8.05,5,8,6,Negative
3.65,8.3,0,6.84,6,4,7,Average
3.17,8.05,0,6.06,5,5,4,Average
3.08,8.69,1,6.4,9,7,4,Average
6.08,7.65,1,1.9,7,2,8,High
4.54,5.84,1,3.23,6,4,6,High
2.69,5.65,0,4.2,4,7,6,Negative
3.82,7.45,0,5.97,6,3,6,High
3.8,5.56,0,6.8,4,1,5,Average
3.4,6.54,1,6.13,3,7,6,Average
4.37,8.11,1,3.73,7,5,6,High
6.6,7.77,0,5.32,7,5,3,Average
1.81,6.3,1,6.55,4,6,8,Average
6.87,6.83,1,3.04,10,2,7,High
8.12,3.75,1,6.65,6,7,6,Average
3.7,7.61,1,2.78,6,2,6,High
5.8,8.42,1,7.59,7,6,10,High
6.35,7.51,1,2.88,7,3,9,High
6.67,7.28,0,3.03,8,4,8,High
5.89,7.44,0,3.64,7,5,8,High
7.98,6.01,0,7.36,7,4,8,High
4.02,6.09,0,4.13,8,3,2,Average
6.88,7.52,1,1.8,8,1,8,High
7.02,7.18,1,6.78,4,8,4,Average
1.74,6.45,1,3.87,3,8,3,Negative
1.63,5.67,1,6.81,4,6,6,Negative
5.95,7.99,1,2.06,3,4,6,High
4.85,8.56,0,2.7,7,4,4,High
5.68,7.91,1,3.07,8,2,5,High
6.65,7.21,1,0.76,8,2,10,High
8.02,6.8,1,7.62,5,7,4,Average
7.98,6.06,0,5.23,9,2,10,High
7.39,8.35,0,5.18,8,6,9,High
0.67,5.23,1,4.12,7,5,8,Average
5.35,6.77,0,1.96,9,4,9,High
4.72,4.92,1,7.23,8,5,8,High
7.36,8.28,1,2.94,9,3,7,High
6.08,6.11,1,1.79,9,1,9,High
6.45,6.99,0,5.04,5,6,6,Average
4.94,6.53,1,4.04,8,6,8,High
8.87,5.87,0,5.61,3,4,6,High
4.81,6.63,1,2.87,8,3,7,High
5.79,8.3,1,4.32,9,2,10,High
6.28,5.24,0,4.78,8,6,1,Average
4.09,4.1,0,5.22,5,7,8,Average
7.49,5.92,1,7.6,6,7,8,High
2.63,7.2,0,5.2,8,4,1,Average
7.56,6.22,1,2.9,8,3,10,High
6.21,6.49,0,4.44,4,8,6,Average
4.71,5.71,1,5.43,7,4,10,High
4.67,9.96,1,5.82,7,4,2,Average
7.53,7.88,1,0.68,9,4,9,High
6.36,8.33,0,6.29,7,7,3,Average
6.01,6.17,0,11.36,3,6,5,Negative
5.77,6.93,1,2.4,8,2,9,High
8.14,5.1,1,6.22,6,7,5,Average
6.41,5.42,0,3.84,4,5,5,Average
4.93,7.28,1,4.91,8,5,8,High
5.95,7.34,1,2.3,7,4,7,High
4.91,5.73,1,6.55,7,3,4,High
5.18,5.82,0,7.53,3,9,8,Negative
6.22,5.07,1,4.95,8,4,8,High
6.84,6.32,1,4.21,7,3,7,High
6.55,6.77,0,3.43,9,2,10,High
6.24,7.72,0,3.77,6,2,8,High
3.85,6.41,0,5.11,7,6,6,Average
6.31,6.34,0,7.12,6,5,7,High
7.91,5.83,0,6.6,6,7,4,Average
5.82,3.04,0,5.6,5,6,3,Negative
4.38,7.94,0,11.84,4,4,6,Average
5.82,8.42,0,5.12,6,6,5,Average
7.73,7.77,1,5.2,7,3,10,High
4.78,4.4,1,6.73,6,5,7,Average
1.08,5.61,0,8.78,5,7,3,Negative
7.88,5.95,0,5.55,7,4,7,High
7.4,9.01,1,3.22,8,2,9,High
4.36,7.44,1,5.66,10,5,7,High
4.99,7.42,1,7.4,5,3,8,High
7.53,8.33,0,8.17,6,4,4,Average
3.68,5.79,0,5.09,2,6,3,Negative
8.19,7.29,1,1.01,10,2,9,High
0.8,6.64,1,4.86,4,7,10,Average
6.37,8.19,1,4.32,8,1,10,High
4.8,5.55,0,6.15,8,5,8,High
4.96,6.18,1,0.6,7,2,10,High
7.89,5.36,0,7.41,5,8,5,Average
5.65,6.99,1,4.66,5,6,6,High
4.27,5.97,1,2.6,6,5,8,High
3.22,3.0,0,4.41,2,6,6,Negative
4.24,5.5,1,5.1,7,3,7,High
5.84,9.89,1,3.41,8,2,8,High
4.84,6.56,1,7.31,5,4,7,High
3.75,4.7,1,5.06,4,3,7,Average
6.9,6.35,0,7.73,8,4,7,High
6.52,8.68,1,5.86,7,4,6,High
2.96,7.79,0,8.52,7,6,6,Average
1.27,4.76,0,10.45,3,4,5,Negative
4.91,8.47,1,3.63,9,1,9,High
7.64,6.12,1,9.97,7,6,6,High
10.0,7.64,1,6.84,3,6,2,Average
6.3,6.28,1,5.67,6,1,8,High
4.93,7.12,1,2.43,8,3,9,High
8.12,7.13,1,2.21,7,1,8,High
2.83,7.22,0,6.06,4,6,5,Average
5.22,8.8,1,8.04,4,5,4,Average
5.2,6.51,0,6.35,6,8,6,Average
4.28,8.45,1,5.97,2,8,7,Average
4.28,8.34,1,9.48,8,4,5,Average
6.04,7.91,1,2.87,10,3,9,High
6.09,6.06,0,2.32,5,8,5,Average
1.21,5.78,0,3.78,3,10,5,Negative
7.55,7.84,1,3.88,8,1,9,High
7.02,6.28,1,7.77,6,1,6,High
6.27,7.92,1,3.46,8,2,7,High
3.24,6.46,0,2.24,6,3,6,High
8.92,7.15,1,3.87,9,2,9,High
7.36,6.01,0,6.15,4,7,6,Average
7.39,7.08,1,3.16,9,3,8,High
4.11,8.0,1,5.95,6,5,6,Average
6.16,6.32,1,4.25,7,2,9,High
2.77,8.17,0,6.13,6,6,4,Average
7.06,6.47,1,3.89,8,1,7,High
4.02,5.78,1,6.61,9,6,4,Average
4.19,6.66,1,5.38,3,5,6,Average
3.46,7.15,1,2.87,4,6,4,Average
7.94,7.63,0,1.98,6,2,7,High
3.15,6.99,1,7.88,5,7,4,Negative
6.11,8.53,0,3.71,4,4,7,High
3.93,8.46,0,7.71,3,6,7,Average
6.36,4.79,1,6.8,3,5,6,Average
4.85,7.23,1,4.5,7,5,4,High
5.03,6.17,1,5.23,6,6,8,High
5.13,8.18,1,4.21,8,3,7,High
1.53,7.09,1,7.2,4,9,2,Negative
2.82,7.48,0,6.85,8,5,7,Average
5.74,5.18,0,5.12,5,5,7,Average
3.91,7.19,0,3.79,7,3,4,High
6.5,6.52,1,3.83,5,4,3,High
2.39,5.06,0,6.74,4,7,4,Negative
3.75,7.63,0,7.61,6,5,3,Average
4.15,7.55,1,3.88,6,4,8,High
4.76,4.67,0,9.93,9,7,6,Average
4.73,4.53,0,5.71,4,4,5,Average
5.6,4.8,0,9.55,5,7,7,Average
3.09,7.24,1,6.19,4,4,6,Average
7.42,7.9,1,4.09,9,1,9,High
7.38,7.61,0,9.76,4,6,5,Average
2.72,5.08,0,10.95,3,5,4,Negative
6.73,8.37,1,6.52,6,4,5,High
8.16,6.51,0,4.37,5,4,2,Average
1.91,7.33,0,8.62,5,4,4,Negative
5.84,6.04,0,4.34,5,5,4,Average
8.12,7.26,1,2.76,8,1,10,High
5.68,6.28,1,4.53,8,2,8,High
1.44,6.91,0,8.1,4,6,5,Negative
8.66,7.73,1,2.24,8,5,8,High
2.4,5.31,0,8.52,6,9,4,Negative
10.0,8.77,0,7.35,8,5,9,High
4.3,9.53,1,1.14,8,5,8,High
4.59,6.67,1,4.6,8,3,5,High
5.25,7.78,1,1.51,7,2,7,High
3.74,6.47,1,4.62,8,6,7,High
4.21,8.77,0,3.33,8,4,2,Average
6.17,10.0,1,5.4,8,5,7,High
3.1,9.06,1,5.46,5,7,7,Average
6.2,7.06,1,5.61,8,4,5,High
4.13,8.52,0,6.16,9,7,9,High
3.44,6.51,0,9.4,2,8,3,Negative
4.04,7.13,1,5.58,7,4,5,High
5.06,5.44,0,7.08,5,3,5,Average
3.06,6.26,0,6.81,7,7,3,Negative
6.03,7.42,1,7.48,7,4,6,High
4.31,4.76,0,3.77,8,4,6,High
6.44,7.36,0,6.52,8,5,8,High
7.89,8.08,1,4.3,8,2,9,High
4.31,6.66,0,5.64,3,6,6,Average
8.16,4.58,1,6.16,7,3,10,High
4.87,7.29,1,1.71,10,1,9,High
6.03,8.3,1,6.23,3,4,7,High
4.88,7.49,1,1.43,9,3,7,High
6.18,5.82,0,5.21,8,5,8,High
5.36,6.78,1,5.6,8,5,3,High
6.68,8.23,0,4.25,8,4,9,High
3.43,7.13,1,6.5,5,4,8,High
1.8,5.37,1,7.9,4,8,5,Negative
6.9,6.09,1,7.43,4,4,2,Average
4.73,7.83,1,3.94,8,2,8,High
5.45,7.69,0,4.27,9,4,9,High
5.0,7.43,1,3.16,6,4,8,High
6.99,6.0,0,7.41,4,6,5,Average
1.69,6.05,0,10.26,5,9,4,Negative
5.47,8.04,0,7.28,5,5,4,Average
5.71,7.33,1,6.16,6,4,8,High
7.78,7.54,0,5.73,6,6,7,High
4.97,6.95,0,6.4,7,6,8,High
6.93,8.28,1,5.7,7,1,6,High
5.42,6.51,1,3.71,7,4,4,High
6.73,9.92,1,2.72,10,1,9,High
3.58,6.86,0,4.98,7,4,6,High
2.82,7.82,0,9.03,5,8,5,Negative
6.11,7.9,1,1.85,9,1,8,High
7.3,7.8,1,3.68,9,4,9,High
7.35,5.75,0,7.16,8,5,6,High
3.21,6.58,0,7.99,5,5,8,Average
6.31,6.54,1,6.72,6,2,5,High
6.26,6.24,0,6.41,3,8,8,Average
6.92,6.71,1,5.79,5,4,8,High
3.89,4.76,1,7.78,3,9,6,Negative
5.95,6.45,1,3.27,8,2,10,High
5.49,5.5,0,8.7,8,8,5,Average
5.08,6.74,0,4.7,2,3,6,Average
4.12,5.62,0,4.53,5,4,5,Average
9.27,6.64,1,2.07,8,3,8,High
4.05,5.67,0,4.79,6,5,8,High
5.77,6.59,1,5.99,5,4,8,High
7.86,6.91,0,9.97,4,8,3,Negative
2.91,6.57,1,1.47,6,6,5,Average
5.58,7.33,1,4.39,7,7,5,High
3.51,6.46,0,6.25,6,5,7,Average
5.48,5.42,0,7.33,6,5,7,Average
5.8,6.42,0,4.23,6,5,8,High
7.76,8.22,1,0.72,7,5,9,High
7.68,8.21,1,6.99,10,3,7,High
8.89,4.69,0,10.15,8,6,6,High
1.32,6.9,1,4.09,5,8,6,Average
6.66,6.8,0,5.64,3,4,6,Average
7.23,6.67,0,3.62,1,10,8,Average
6.69,9.47,0,1.28,9,1,7,High
5.31,5.21,0,4.25,6,6,5,Average
2.68,7.1,0,1.97,7,4,8,High
9.72,7.23,1,5.5,7,2,8,High
7.69,7.02,1,4.58,9,3,9,High
3.42,5.15,0,9.91,4,5,5,Negative
3.62,4.75,0,8.05,7,10,4,Negative
2.06,4.28,1,7.59,2,5,2,Negative
4.06,7.4,0,4.21,5,3,5,High
6.53,7.62,0,3.51,5,6,5,Average
6.87,6.73,1,3.46,7,7,8,High
7.17,7.97,0,2.94,7,7,7,High
6.49,7.15,1,2.55,8,2,10,High
5.44,7.6,1,3.89,5,4,7,High
6.95,7.41,1,1.97,7,2,9,High
4.51,5.63,0,7.01,6,7,5,Average
6.05,6.47,1,4.35,7,6,6,High
7.27,7.72,1,2.32,8,1,9,High
7.14,3.68,0,7.07,5,7,9,Average
5.35,7.71,1,10.01,3,6,5,Average
6.26,6.73,1,5.11,5,7,7,High
6.97,5.0,1,5.59,4,4,8,High
6.64,7.04,0,4.4,7,4,9,High
3.98,7.02,0,8.55,5,7,4,Negative
7.24,7.2,0,5.27,6,1,7,High
5.28,4.87,1,5.89,7,2,7,High
4.87,6.5,0,7.3,5,7,5,Average
2.98,6.5,0,9.73,4,8,6,Negative
10.0,7.06,0,1.04,8,1,9,High
2.9,6.02,0,8.1,4,8,3,Negative
5.16,5.77,0,11.23,7,6,7,Average
3.62,8.47,0,6.96,8,2,4,High
6.17,6.54,0,7.08,6,2,10,High
5.97,6.1,1,2.83,7,1,9,High
7.25,4.94,1,8.9,7,3,8,High
6.94,5.86,1,4.91,9,1,7,High
5.03,8.79,1,4.9,6,7,7,Average
5.98,6.82,1,3.43,5,7,6,High
4.96,7.56,1,4.97,4,6,3,Average
4.77,7.73,1,7.05,3,9,4,Negative
6.77,7.93,0,6.46,2,1,4,Average
5.32,7.82,1,2.71,9,4,8,High
8.3,8.17,0,2.45,4,5,5,High
7.13,7.19,0,7.06,7,5,5,High
8.47,6.66,0,7.96,3,6,6,Average
9.2,8.18,0,7.16,4,6,10,High
6.87,5.57,0,4.89,5,6,7,High
8.03,5.39,0,9.96,3,3,6,Average
3.53,3.3,0,4.12,5,6,2,Negative
5.99,5.05,0,7.98,2,5,7,Average
4.23,7.65,0,6.36,2,7,7,Average
4.96,7.66,1,4.8,7,6,9,High
4.0,7.28,1,0.69,8,1,7,High
5.86,7.69,1,3.77,8,6,6,High
5.07,6.41,1,7.67,5,8,5,Average
4.3,7.48,0,5.26,3,4,4,Average
7.14,5.71,0,7.45,6,6,3,Average
3.66,6.39,1,3.66,7,5,8,High
4.93,7.8,0,2.95,8,6,4,High
6.11,7.44,1,3.62,8,2,9,High
6.23,8.89,1,2.7,8,3,10,High
3.74,5.87,0,5.27,4,7,4,Negative
3.21,6.18,0,5.65,5,2,6,Average
4.79,4.52,0,5.08,2,8,4,Negative
2.95,5.52,1,7.45,1,8,5,Negative
1.76,5.27,1,6.21,5,7,5,Negative
2.87,6.65,1,1.94,8,1,6,High
3.99,7.58,0,4.44,7,4,3,Average
8.48,7.52,0,3.75,9,4,8,High
6.71,7.45,1,4.42,6,5,7,High
1.62,6.82,1,7.66,6,4,4,Average
5.79,5.98,0,7.68,4,7,10,Average
6.23,5.8,1,5.29,6,7,4,Average
3.95,6.46,0,5.55,6,3,5,Average
3.14,7.84,0,8.55,4,8,6,Negative
4.21,7.0,0,7.02,5,5,10,High
5.77,7.54,1,5.6,2,6,5,Average
3.62,7.54,1,3.88,6,2,9,High
3.85,7.21,1,4.26,7,5,6,High
1.36,8.98,0,5.98,1,5,4,Negative
7.96,3.6,0,6.05,4,7,2,Negative
4.86,5.79,1,3.58,6,4,6,High
1.7,4.45,1,4.88,3,6,5,Negative
7.56,6.88,1,4.7,8,2,9,High
8.26,7.64,1,4.35,9,2,8,High
6.44,7.82,1,3.54,10,1,7,High
2.8,5.03,0,5.3,6,7,6,Average
2.99,8.37,1,4.99,7,6,7,Average
4.93,5.6,0,7.2,3,8,3,Negative
3.33,6.66,1,3.79,5,5,8,High
7.35,6.58,1,8.79,9,5,8,High
6.64,6.1,0,9.0,6,5,2,Average
6.65,5.81,0,8.09,5,4,4,Average
4.82,7.11,0,5.86,3,5,7,Average
3.24,5.46,0,5.43,7,7,9,Average
6.15,6.48,0,3.47,7,1,7,High
3.84,6.1,0,7.61,6,2,5,Average
7.17,5.05,0,7.81,6,6,6,Average
6.46,4.52,1,6.15,3,1,5,High
4.41,5.99,0,5.08,7,1,6,High
2.71,5.85,0,3.98,10,4,6,High
5.79,9.05,1,3.54,8,4,10,High
4.36,5.76,1,5.33,6,3,6,High
4.95,4.86,1,6.19,7,4,7,High
4.61,7.34,1,5.14,8,1,9,High
5.08,7.67,1,5.72,7,4,8,High
1.18,6.3,1,3.95,1,6,5,Negative
8.35,6.15,1,9.62,7,6,10,High
4.06,6.79,1,4.04,6,5,8,High
8.49,7.98,0,7.33,6,7,2,Average
4.33,7.92,0,10.71,3,10,4,Negative
6.34,6.14,0,4.63,7,5,7,High
6.77,8.49,1,5.05,7,3,9,High
3.49,7.82,0,10.91,2,4,1,Negative
4.5,3.65,0,4.28,5,5,4,Average
8.57,7.11,1,4.0,7,5,6,High
8.39,7.75,0,9.47,6,4,9,High
1.85,8.38,0,5.75,2,6,5,Negative
2.68,7.14,0,5.24,7,4,6,Average
4.31,7.08,1,3.63,7,1,6,High
4.33,6.87,1,4.81,8,2,8,High
4.44,6.33,1,3.69,7,6,8,High
8.84,6.96,1,1.99,9,3,9,High
6.29,5.56,0,5.27,4,4,5,Average
5.47,6.28,1,9.16,7,6,3,Average
2.72,5.9,0,5.38,6,2,3,Average
10.0,7.26,0,7.47,7,4,7,High
2.54,5.92,0,9.54,6,8,3,Negative
4.37,6.93,0,4.59,2,5,6,Average
1.92,7.96,1,11.99,3,7,3,Negative
5.88,9.34,0,4.9,8,2,7,High
5.14,7.26,1,4.24,10,3,9,High
7.71,7.21,1,0.78,8,3,9,High
3.13,7.27,0,5.02,8,5,8,High
3.5,6.87,0,3.28,6,3,6,High
4.51,7.16,1,9.92,4,8,8,Average
5.09,6.58,1,2.12,5,4,8,High
2.52,6.84,0,9.61,1,9,2,Negative
5.76,6.62,1,5.92,8,3,8,High
1.28,5.7,0,9.03,4,5,4,Negative
3.05,6.63,0,3.66,8,5,6,High
3.78,5.24,0,6.85,4,4,6,Average
3.24,7.4,1,3.29,6,3,9,High
4.69,6.32,1,4.14,8,4,9,High
3.54,6.42,0,7.89,7,4,10,High
4.91,8.83,1,1.92,7,5,9,High
2.31,5.29,1,7.91,6,7,5,Negative
7.26,7.74,1,7.86,7,5,8,High
3.84,7.11,0,5.27,3,5,3,Negative
7.19,5.35,0,4.31,8,4,9,High
2.2,8.33,0,11.3,5,3,3,Negative
3.64,4.9,0,5.12,7,6,10,High
6.53,6.36,1,4.18,7,2,7,High
2.07,5.76,0,7.99,6,9,6,Negative
4.49,8.51,0,0.5,7,5,8,High
2.88,4.91,0,8.64,3,6,3,Negative
4.5,4.9,1,5.22,7,5,7,High
6.81,7.08,1,3.27,8,1,10,High
5.22,7.65,0,7.14,5,6,7,Average
4.51,6.99,0,7.47,6,6,8,Average
5.48,6.46,0,4.2,6,6,5,Average
5.11,5.71,0,9.37,4,2,6,Average
2.12,7.8,1,3.31,7,5,9,High
6.67,6.44,1,6.71,6,6,7,High
5.25,5.02,1,8.24,5,8,7,Average
3.68,6.26,0,7.01,8,4,4,Average
5.0,8.05,1,6.69,4,3,7,High
7.17,8.82,0,5.17,7,4,6,High
4.12,4.88,0,7.43,2,9,4,Negative
6.08,6.65,1,5.53,6,4,6,High
2.04,6.05,0,5.63,5,8,5,Negative
6.48,4.73,0,5.98,5,6,9,High
9.79,7.34,1,3.28,9,3,10,High
5.56,6.8,0,5.24,5,3,7,High
4.73,6.87,1,6.21,7,6,8,High
6.96,6.88,0,6.94,4,5,3,Average
2.95,7.13,1,7.91,5,5,7,Average
3.58,5.84,1,5.97,9,6,6,High
10.0,8.12,1,1.36,8,1,7,High
4.18,6.01,1,7.18,8,4,7,High
5.66,6.35,0,3.31,6,2,7,High
2.81,4.04,0,5.9,3,9,6,Negative
4.24,4.85,1,8.39,6,7,6,Average
3.02,8.36,1,7.92,6,3,6,Average
4.47,6.89,1,7.49,5,6,6,Average
7.54,6.25,1,4.66,6,4,3,High
4.65,7.44,0,5.14,8,5,9,High
5.84,7.68,0,5.88,6,3,7,High
8.08,7.79,1,6.21,8,9,8,High
2.75,7.13,0,5.95,3,6,3,Negative
5.22,7.8,0,7.51,1,6,8,Average
7.04,4.79,1,6.53,7,7,9,High
8.0,8.13,1,3.51,9,1,10,High
9.54,7.7,1,4.06,7,3,8,High
6.21,5.99,1,7.25,5,2,7,High
8.16,8.53,1,1.78,10,4,9,High
3.32,5.95,0,5.84,4,8,5,Negative
4.9,7.28,1,2.2,7,8,8,High
2.67,6.08,1,11.42,1,8,6,Negative
3.92,6.69,1,10.66,3,9,8,Negative
5.84,8.46,0,0.99,1,6,5,Average
7.39,8.12,1,3.16,8,2,8,High
3.99,5.89,0,3.87,8,5,7,High
6.78,5.84,1,5.12,7,4,5,High
5.16,4.79,1,9.21,4,4,7,Average
3.77,6.04,1,7.92,7,7,4,Average
6.06,7.72,1,5.71,8,2,8,High
2.31,3.93,0,5.3,7,6,3,Negative
2.56,5.2,1,3.74,6,4,6,Average
7.98,6.96,1,1.36,8,2,9,High
8.26,7.43,0,6.84,5,7,4,Average
1.91,7.42,0,6.42,4,8,4,Negative
0.92,4.98,0,5.98,5,6,1,Negative
2.09,9.72,0,8.74,5,8,6,Negative
2.82,5.43,0,6.84,4,5,5,Negative
5.17,6.86,1,3.93,7,2,8,High
6.99,8.06,1,4.2,3,7,7,Average
3.68,5.43,0,7.58,6,8,7,Average
6.48,7.53,0,4.64,4,6,2,Average
2.88,6.01,1,2.42,7,5,7,High
2.02,4.62,1,8.69,3,6,4,Negative
4.75,5.55,0,6.79,7,5,6,Average
7.27,5.52,1,3.37,5,5,8,High
9.53,6.96,0,3.73,8,4,9,High
7.67,7.79,1,3.82,5,4,3,High
5.3,7.41,0,10.75,4,8,4,Negative
3.3,7.67,1,5.5,6,5,8,High
6.17,7.75,1,2.08,6,4,9,High
3.59,7.36,1,3.63,8,6,8,High
1.96,6.21,0,4.22,7,4,7,Average
6.78,7.68,1,5.17,5,5,4,High
5.44,5.5,1,7.82,7,6,6,Average
8.2,7.86,1,3.0,9,1,10,High
4.55,6.95,0,3.82,7,2,7,High
5.7,6.36,0,8.03,6,5,6,Average
5.42,8.05,1,3.97,8,4,6,High
4.87,8.32,1,5.98,2,4,6,Average
7.27,7.26,1,3.2,7,1,8,High
5.53,6.15,1,4.56,9,2,7,High
4.3,7.33,0,5.36,8,4,8,High
